Id_bien,Id_codedep_codecommune,No_voie,B_T_Q,Type_de_voie,Voie,Code_postal,Code_type_local,Type_local,Nombre_pieces_principales,Surface_Carrez_du_1er_lot
06081,01103,347,,RUE,DU CHATEAU,1170,2,Appartement,3,48.22
07851,06004,4,,BD,EDOUARD BAUDOIN,6160,2,Appartement,1,39.11
34140,06088,20,B,RUE,MARCEAU,6000,2,Appartement,3,80.25
17635,06123,550,,RTE,DES VESPINS RN7,6700,2,Appartement,1,27.51
16061,13005,9300,,RES,LES ARPEGES BD DES ABA,13400,2,Appartement,2,47.33
13623,13028,27,,RUE,DU GRAND MADIER,13600,2,Appartement,1,25.31
05021,13208,360,,AV,DU PRADO,13008,2,Appartement,3,70.84
03718,13212,5076,F,PARC,DESSUARD,13012,2,Appartement,3,67.19
09978,14338,1194,,RUE,DE NORMANDIE,14510,2,Appartement,1,18.89
21921,14366,30,,ALL,DES NOISETIERS,14100,1,Maison,4,105.37
29054,17300,11,,RUE,ROUGET DE L ISLE,17000,2,Appartement,2,31.99
29109,25056,13,,RUE,BERTHE MORISOT,25000,1,Maison,5,96.21
21291,29232,1,,RUE,DU POHER,29000,2,Appartement,1,30.86
20059,29260,2,,RUE,DES JARDINS,29290,2,Appartement,3,66.21
33670,31555,5,,AV,DU COMMANDANT TAILLANDIER,31500,2,Appartement,2,45.58
32275,33063,15,,RUE,PAUL DENUCE,33800,2,Appartement,1,23.2
05870,33063,176,,RUE,SAINTE CATHERINE,33000,2,Appartement,1,13.1
33286,33097,822,G,,LA BAYNASSE SUD,33121,2,Appartement,2,29
15341,33449,9,,RUE,DE BELFORT,33160,2,Appartement,2,51.4
00432,34145,183,,RUE,MARC ANTOINE MENARD,34400,2,Appartement,1,16.79
12669,34150,50,,AV,ANDRE CHASSEFIERE,34340,2,Appartement,2,51.4
20800,34199,8,,PL,DES ETATS DU LANGUEDOC,34120,2,Appartement,3,68.22
20751,37156,7,,RUE,JEAN-JACQUES ROUSSEAU,37270,1,Maison,4,88.45
22189,37261,197,,AV,DE GRAMMONT,37000,2,Appartement,2,42.94
17952,38185,48,,BD,MAL FOCH,38000,2,Appartement,4,76.48
03652,40266,210,,RTE,DU TAILLEUR,40170,1,Maison,3,48.23
12925,40328,199,,RES,MER ET GOLF-LE BOUCANIER,40480,2,Appartement,2,49.91
05527,44143,3,,ALL,JEAN PERRIN,44400,2,Appartement,2,46.3
25257,44184,12,,RUE,FERDINAND BUISSON,44600,2,Appartement,2,47.24
25164,51230,35,,AV,DE CHAMPAGNE,51200,2,Appartement,4,81.09
04228,54395,26,,RUE,MESSIER,54000,2,Appartement,2,39.69
06461,56161,5794,,,GOLF SAINT LAURENT,56400,2,Appartement,3,43.85
33674,58194,5,,RUE,DE PRUNEVEAUX,58000,2,Appartement,4,108.78
30777,59512,118,,BD,DU GENERAL DE GAULLE,59100,2,Appartement,3,89.84
11129,60057,247,,RUE,DE NOTRE DAME DU THIL,60000,2,Appartement,2,48.35
24441,60155,34,,RUE,DE LA VILLE,60660,2,Appartement,1,19.11
06734,60159,15,,SQ,JEAN BAPTISTE CLEMENT,60200,2,Appartement,5,97.39
01433,60524,84,,AV,JEAN JAURES,60290,2,Appartement,1,31.73
18787,69149,54,,RUE,DE LA BUSSIERE,69600,2,Appartement,2,49.89
08996,69384,15,,RUE,ARTAUD,69004,2,Appartement,1,20.02
31647,74119,1,,AV,D ABONDANCE,74500,2,Appartement,2,34.86
30634,74236,950,,AV,DU MONT D ARBOIS,74170,2,Appartement,2,39.05
28778,74238,110,,RTE,DE LA TELECABINE,74430,2,Appartement,1,18.93
27090,74278,2308,,AV,DES VALLEES,74300,2,Appartement,4,88.59
19036,75105,22,,BD,SAINT MARCEL,75005,2,Appartement,2,30.05
09634,75110,45,,BD,DE MAGENTA,75010,2,Appartement,2,32.3
16753,75111,14,,AV,DE LA REPUBLIQUE,75011,2,Appartement,4,120.28
25486,75111,160,,RUE,SAINT MAUR,75011,2,Appartement,2,17.94
16714,75111,11,,RUE,DU MOULIN JOLY,75011,2,Appartement,2,28.39
11925,75112,36,,RUE,ERARD,75012,2,Appartement,2,18
15570,75112,220,,RUE,DE CHARENTON,75012,2,Appartement,3,51.44
20992,75112,17,,RUE,D AUSTERLITZ,75012,2,Appartement,1,10.06
02962,75115,60,A,RUE,EMERIAU,75015,2,Appartement,4,88.3
