Id_vente,Id_bien,Date_mutation,Valeur_fonciere
00001,06081,2020-01,165000
00002,07851,2020-01,355680
00003,34140,2020-01,229500
00004,17635,2020-01,125000
00005,16061,2020-01,90000
00006,13623,2020-01,93000
00007,05021,2020-01,298100
00008,03718,2020-01,163500
00009,09978,2020-01,53000
00010,21921,2020-01,136000
00011,29054,2020-01,125900
00012,29109,2020-01,234000
00013,21291,2020-01,46210
00014,20059,2020-01,129000
00015,33670,2020-01,122500
00016,32275,2020-01,86025
00017,05870,2020-01,79000
00018,33286,2020-01,81795
00019,15341,2020-01,156000
00020,00432,2020-01,139900
00021,12669,2020-01,163870
00022,20800,2020-01,108100
00023,20751,2020-01,205000
00024,22189,2020-01,94000
00025,17952,2020-01,149500
00026,03652,2020-01,111500
00027,12925,2020-01,140000
00028,05527,2020-01,122850
00029,25257,2020-01,135850
00030,25164,2020-01,135500
00031,04228,2020-01,71250
00032,06461,2020-01,107000
00033,33674,2020-01,148400
00034,30777,2020-01,132000
00035,11129,2020-01,107194
00036,24441,2020-01,57200
00037,06734,2020-01,124770
00038,01433,2020-01,67000
00039,18787,2020-01,150830
00040,08996,2020-01,68900
00041,31647,2020-01,120000
00042,30634,2020-01,135460
00043,28778,2020-01,62000
00044,27090,2020-01,281000
00045,19036,2020-01,357000
00046,09634,2020-01,374000
00047,16753,2020-01,1147650
00048,25486,2020-01,145000
00049,16714,2020-01,324120
00050,11925,2020-01,408220
00051,15570,2020-01,582670
00052,20992,2020-01,80000
00053,02962,2020-01,840250
00054,31141,2020-01,266000
00055,07936,2020-01,473000
00056,29850,2020-01,207200
00057,25864,2020-01,49000
00058,18479,2020-01,101250
00059,32529,2020-01,35000
00060,02137,2020-01,132000
00061,33890,2020-01,472950
00062,03850,2020-01,478161
00063,23117,2020-01,153700
00064,25663,2020-01,155800
00065,16371,2020-01,624000
00066,03036,2020-01,135700
00067,20061,2020-01,196000
00068,08793,2020-01,172850
00069,31071,2020-01,120500
00070,21152,2020-01,224000
00071,23751,2020-01,367000
00072,01013,2020-01,132840
00073,11503,2020-01,78500
00074,33494,2020-01,72000
00075,23359,2020-01,107100
00076,19578,2020-01,134000
00077,31778,2020-01,68181
00078,26664,2020-01,275900
00079,24706,2020-01,160000
00080,23750,2020-01,267740
00081,32910,2020-01,395300
00082,05490,2020-01,269000
00083,29698,2020-01,406400
00084,24449,2020-01,326500
00085,32103,2020-01,275050
00086,17776,2020-01,138000
00087,28986,2020-01,65000
00088,29283,2020-01,185750
00089,30585,2020-01,235000
00090,04767,2020-01,176000
00091,32663,2020-01,140000
00092,03762,2020-01,170950
00093,21601,2020-01,265000
00094,28418,2020-01,112000
00095,24899,2020-01,102000
00096,07346,2020-01,142000
00097,20057,2020-01,164000
00098,26285,2020-01,33880
00099,01355,2020-01,71000
00100,33808,2020-01,43000
00101,17298,2020-01,181875
00102,07022,2020-01,240250
00103,12748,2020-01,616900
00104,22212,2020-01,212550
00105,17435,2020-01,317800
00106,10855,2020-01,420000
00107,06169,2020-01,44000
00108,31507,2020-01,237720
00109,32612,2020-01,146000
00110,01468,2020-01,69350
00111,08764,2020-01,121000
00112,16008,2020-01,70000
00113,17439,2020-01,145000
00114,12986,2020-01,43000
00115,25232,2020-01,210800
00116,32145,2020-01,210000
00117,02246,2020-01,96000
00118,14226,2020-01,135000
00119,06818,2020-01,37000
00120,21047,2020-01,190000
00121,08904,2020-01,39450
00122,13364,2020-01,28500
00123,01437,2020-01,158800
00124,04329,2020-01,268800
00125,00587,2020-01,96450
00126,13229,2020-01,28000
00127,15866,2020-01,73470
00128,34046,2020-01,49500
00129,10364,2020-01,67000
00130,07841,2020-01,176000
00131,04476,2020-01,278300
00132,05865,2020-01,296651
00133,05461,2020-01,159500
00134,08683,2020-01,98545
00135,24604,2020-01,98200
00136,34045,2020-01,110500
00137,19507,2020-01,44500
00138,08915,2020-01,332000
00139,07137,2020-01,221060
00140,22181,2020-01,174845
00141,20519,2020-01,42000
00142,00185,2020-01,445000
00143,30911,2020-01,232750
00144,04474,2020-01,257800
00145,17628,2020-01,125000
00146,22152,2020-01,104792.58
00147,10321,2020-01,146000
00148,06509,2020-01,174000
00149,06324,2020-01,110000
00150,08076,2020-01,370700
00151,07293,2020-01,62800
00152,28589,2020-01,251105
00153,04994,2020-01,342700
00154,20470,2020-01,65000
00155,01042,2020-01,133000
00156,17343,2020-01,66370
00157,20635,2020-01,594700
00158,10836,2020-01,71000
00159,09855,2020-01,140000
00160,13781,2020-01,112000
00161,27543,2020-01,121000
00162,29419,2020-01,109950
00163,02489,2020-01,314500
00164,20787,2020-01,167600
00165,27364,2020-01,157080
00166,29696,2020-01,164720
00167,22729,2020-01,273080
00168,20163,2020-01,118650
00169,30967,2020-01,157000
00170,17281,2020-01,63885
00171,33122,2020-01,255000
00172,04110,2020-01,445000
00173,31747,2020-01,852000
00174,33058,2020-01,335000
00175,20321,2020-01,278500
00176,28606,2020-01,497270
00177,07023,2020-01,1469500
00178,11218,2020-01,270000
00179,02611,2020-01,434000
00180,06815,2020-01,352000
00181,04909,2020-01,512000
00182,06859,2020-01,246150
00183,02314,2020-01,573721
00184,16073,2020-01,917350
00185,15723,2020-01,625500
00186,03589,2020-01,673315
00187,24819,2020-01,707350
00188,22199,2020-01,461200
00189,03968,2020-01,502700
00190,32727,2020-01,276000
00191,17632,2020-01,638000
00192,02351,2020-01,196500
00193,03549,2020-01,34500
00194,31058,2020-01,116000
00195,31792,2020-01,93200
00196,08324,2020-01,142000
00197,02198,2020-01,98000
00198,21065,2020-01,172500
00199,26976,2020-01,141000
00200,00254,2020-01,440000
00201,21471,2020-01,131600
00202,00474,2020-01,205000
00203,03509,2020-01,93800
00204,12399,2020-01,135450
00205,24176,2020-01,102000
00206,33350,2020-01,185000
00207,09182,2020-01,196100
00208,17700,2020-01,212231
00209,11656,2020-01,113000
00210,20303,2020-01,331000
00211,08038,2020-01,93000
00212,24070,2020-01,596370
00213,19434,2020-01,97000
00214,29911,2020-01,305000
00215,04744,2020-01,99840
00216,31937,2020-01,150020
00217,17650,2020-01,3e+05
00218,04685,2020-01,121000
00219,14041,2020-01,148570
00220,00786,2020-01,105840
00221,30454,2020-01,138000
00222,27274,2020-01,33000
00223,19309,2020-01,40000
00224,08417,2020-01,56650
00225,12632,2020-01,160000
00226,05353,2020-01,360000
00227,01100,2020-01,171000
00228,09846,2020-01,213500
00229,19126,2020-01,157500
00230,02805,2020-01,255680
00231,00618,2020-01,244000
00232,31129,2020-01,435000
00233,13599,2020-01,254000
00234,17268,2020-01,284984
00235,03872,2020-01,302000
00236,02777,2020-01,548000
00237,24168,2020-01,877100
00238,24148,2020-01,213615
00239,21402,2020-01,300800
00240,07100,2020-01,857950
00241,03673,2020-01,380000
00242,26857,2020-01,318700
00243,32867,2020-01,256760
00244,07349,2020-01,291262
00245,18471,2020-01,161320
00246,29290,2020-01,164000
00247,06303,2020-01,662300
00248,02811,2020-01,227600
00249,18491,2020-01,312450
00250,14318,2020-01,348450
00251,33863,2020-01,298333
00252,07832,2020-01,326200
00253,04562,2020-01,349000
00254,10484,2020-01,43000
00255,06330,2020-01,192000
00256,03726,2020-01,142100
00257,00633,2020-01,572000
00258,17537,2020-01,130000
00259,17825,2020-01,134000
00260,11740,2020-01,209000
00261,26373,2020-01,378850
00262,15858,2020-01,440425
00263,15025,2020-01,331000
00264,07643,2020-01,410370
00265,04054,2020-01,145000
00266,00082,2020-01,218000
00267,23332,2020-01,269000
00268,33285,2020-01,374675
00269,16262,2020-01,163000
00270,33226,2020-01,224500
00271,16574,2020-01,159000
00272,19683,2020-01,195600
00273,08374,2020-01,240000
00274,19169,2020-01,174000
00275,31355,2020-01,84000
00276,21312,2020-01,76100
00277,19282,2020-01,67750
00278,16700,2020-01,75200
00279,16270,2020-01,176000
00280,17962,2020-01,123000
00281,21738,2020-01,87900
